,CustomerID,NumOrders,AvgOrderValues,TotalSpent
0,12346.0,1,77183.6,77183.6
1,12347.0,7,23.681318681318682,4310.0
2,12348.0,4,57.97548387096774,1797.24
3,12349.0,1,24.076027397260273,1757.55
4,12350.0,1,19.670588235294115,334.4
5,12352.0,8,29.482823529411764,2506.04
6,12353.0,1,22.25,89.0
7,12354.0,1,18.610344827586207,1079.4
8,12355.0,1,35.33846153846154,459.4
9,12356.0,3,47.65135593220339,2811.43
10,12357.0,1,47.38679389312977,6207.67
11,12358.0,2,61.47684210526315,1168.06
12,12359.0,4,25.695887096774193,6372.58
13,12360.0,3,20.63612403100775,2662.06
14,12361.0,1,18.990000000000002,189.9
15,12362.0,10,19.647481203007516,5226.23
16,12363.0,2,24.0,552.0
17,12364.0,4,15.448235294117646,1313.1
18,12365.0,2,29.153636363636362,641.38
19,12367.0,1,15.354545454545455,168.9
20,12370.0,4,21.231676646706585,3545.69
21,12371.0,2,29.96761904761905,1887.96
22,12372.0,3,24.962307692307693,1298.04
23,12373.0,1,26.042857142857144,364.6
24,12374.0,1,22.513030303030305,742.9300000000001
25,12375.0,2,26.91176470588235,457.5
26,12377.0,2,21.144415584415583,1628.12
27,12378.0,1,18.30420091324201,4008.62
28,12379.0,2,21.306,852.24
29,12380.0,4,26.200096153846154,2724.81
30,12381.0,5,21.21045977011494,1845.31
31,12383.0,5,18.69252525252525,1850.56
32,12384.0,2,21.676666666666666,585.27
33,12386.0,2,40.19,401.9
34,12388.0,6,27.8066,2780.66
35,12390.0,1,17.1825,549.84
36,12391.0,1,4.6089,460.89
37,12393.0,4,24.728125000000002,1582.6000000000001
38,12394.0,2,47.12888888888889,1272.48
39,12395.0,12,19.350192307692307,3018.63
40,12397.0,2,19.126190476190477,2409.9
41,12398.0,1,19.24305882352941,1635.6599999999999
42,12399.0,4,18.790677966101697,1108.65
43,12401.0,1,16.86,84.3
44,12402.0,1,20.509090909090908,225.6
45,12403.0,1,85.53999999999999,427.7
46,12405.0,1,31.67388888888889,1710.39
47,12406.0,2,32.52666666666667,3415.3
48,12407.0,5,22.183376623376624,1708.1200000000001
49,12408.0,5,27.51,2888.55
50,12409.0,3,101.58412844036697,11072.67
51,12410.0,2,26.666538461538458,693.3299999999999
52,12412.0,3,20.112786885245903,1226.88
53,12413.0,3,19.95,758.1
54,12414.0,3,31.244999999999997,562.41
55,12415.0,21,174.95032212885152,124914.53
56,12417.0,9,19.005729166666665,3649.1
57,12418.0,1,19.664117647058823,668.58
58,12420.0,1,20.70310344827586,600.39
59,12421.0,4,17.93422222222222,807.04
60,12422.0,3,20.604102564102565,803.5600000000001
61,12423.0,8,14.87448,1859.31
62,12424.0,2,58.69866666666667,1760.96
63,12425.0,1,21.58888888888889,777.2
64,12426.0,1,19.424333333333333,582.73
65,12427.0,3,26.638709677419353,825.8
66,12428.0,9,27.062789115646257,7956.46
67,12429.0,4,38.66391752577319,3750.4
68,12430.0,1,23.30909090909091,256.4
69,12431.0,15,27.606170212765957,6487.45
70,12432.0,5,46.845555555555556,5059.32
71,12433.0,7,31.847309523809525,13375.87
72,12434.0,2,16.122799999999998,806.14
73,12435.0,2,217.49694444444447,7829.89
74,12436.0,1,31.813125,509.01
75,12437.0,18,24.88145728643216,4951.41
76,12438.0,2,29.66173469387755,2906.85
77,12441.0,1,15.77727272727273,173.55
78,12442.0,1,14.338333333333333,172.06
79,12444.0,5,28.440113636363638,5005.46
80,12445.0,1,33.35,133.4
81,12446.0,1,17.584385964912283,1002.3100000000001
82,12447.0,1,18.326538461538462,476.49
83,12448.0,1,20.429545454545455,449.45
84,12449.0,4,21.294712041884818,4067.29
85,12450.0,2,24.735,197.88
86,12451.0,5,25.524067796610172,9035.52
87,12452.0,2,19.571363636363635,430.57
88,12453.0,1,16.443953488372095,707.09
89,12454.0,1,235.22266666666667,3528.34
90,12455.0,6,27.409555555555556,2466.86
91,12456.0,3,25.44832,3181.04
92,12457.0,7,38.11661290322581,2363.23
93,12458.0,2,24.931578947368422,947.4
94,12461.0,2,23.62514285714286,826.88
95,12462.0,2,19.186935483870965,1189.59
96,12463.0,4,16.202168674698793,1344.78
97,12464.0,8,41.79482758620689,1212.05
98,12465.0,2,15.79127659574468,742.1899999999999
99,12468.0,2,19.19842105263158,729.5400000000001
100,12471.0,30,43.09576086956522,19824.05
101,12472.0,7,19.386755162241887,6572.11
102,12473.0,5,23.443749999999998,3938.5499999999997
103,12474.0,18,17.395731132075472,7375.79
104,12475.0,1,20.093888888888888,723.38
105,12476.0,11,29.255021459227468,6816.42
106,12477.0,6,44.065799999999996,13219.74
107,12478.0,1,18.91638888888889,680.99
108,12479.0,1,17.006451612903227,527.2
109,12480.0,4,21.309285714285714,3281.63
110,12481.0,10,25.789493087557602,5596.32
111,12483.0,8,33.133066666666664,2484.98
112,12484.0,6,13.126358381502891,4541.72
113,12488.0,3,23.612000000000002,1298.66
114,12489.0,1,22.328666666666667,334.93
115,12490.0,10,22.114,5417.93
116,12491.0,1,17.70769230769231,460.40000000000003
